Nome,Especialização,Contratação,Telefone,Endereço,CPF,Nascimento
Maitê Aragão,Neurologia,07/19/2019,+55 11 7011 4627,"Largo Ana Lívia Almeida, 519
Vila Tirol
17771-065 da Paz / TO",182.218.518-71,01/15/1981
Samuel Moura,Radioterapia,06/20/2012,(031) 9581 7697,"Viaduto de Rocha, 95
Dom Cabral
49940220 da Conceição / PB",349-333-746-70,12/08/1976
Manuela Santos,Dermatologia,02/09/2012,+55 51 449 0941,"Estação Eduarda Fogaça, 45
Solimoes
63943-480 Costela / PB",614.609.304-93,09/07/1991
Dr. Ian Dias,Cardiologia,05/12/2018,+55 71 8668 9027,"Pátio Sarah Duarte, 39
Vila Piratininga
33494-456 Aragão / PR",151.587.876-42,05/20/1989
Fernanda Cunha,Cirurgia geral,04/09/2018,+55 (021) 5478-0541,"Sítio João Pedro Freitas
Aarão Reis
86533-444 Freitas / AP",175.264.416-85,11/25/1987
Vinicius Jesus,Acupuntura,11/30/2019,61 2224-5621,"Vila de Costa, 93
Vila Independencia 1ª Seção
62577-586 Pinto / AP",334.499.964-30,06/26/1975
Ana Júlia da Rocha,Alergia e imunologia,10/05/2014,(021) 2946-0997,"Favela da Rosa, 84
Maria Goretti
02217901 Aragão de Barros / PB",878.221.736-38,06/17/1974
Miguel Almeida,Pediatria,07/20/2011,(011) 5962-9413,"Residencial Rodrigues
Maria Virgínia
45692038 da Conceição / SE",494.789.609-77,03/15/1975
Catarina Nascimento,Cardiologia,05/31/2020,+55 (011) 8753 1406,"Sítio de Duarte, 1
Serra Verde
88249-476 Dias de Rocha / RO",826.734.864-21,09/05/1983
Catarina Duarte,Neurologia,06/01/2015,+55 (051) 8987-2408,"Avenida de Correia, 3
Vila Aeroporto
25194845 da Costa / PR",248.681.602-28,04/14/1996
Benício Rezende,Pediatria,02/26/2018,+55 (081) 8848 2218,"Condomínio de da Costa
Vila Nossa Senhora Do Rosário
22318753 Carvalho de da Costa / BA",925.595.318-94,02/26/1976
João Pedro Peixoto,Cirurgia geral,04/04/2016,(051) 3242-6356,"Vila Nunes, 8
Solar Do Barreiro
09269056 Vieira de Campos / PA",221.688.496-59,05/09/1991
Leandro Jesus,Cardiologia,03/11/2016,+55 71 9813-4871,"Sítio Teixeira
Vila Paquetá
06278-499 da Cunha / BA",482.648.604-42,11/10/1976
Dr. Arthur Dias,Cardiologia,03/21/2018,21 9310-1818,"Condomínio Maria Fernanda da Conceição, 11
Grota
90026762 Teixeira / MG",738.957.967-93,03/07/1998
Emanuel Barbosa,Neurologia,03/28/2018,41 1899-4908,"Viela Jesus, 7
Vila Petropolis
36360067 Nascimento do Norte / CE",459.136.770-49,07/20/1997
Luna Moura,Neurologia,08/03/2010,+55 (051) 7281-6040,"Recanto Moura
Vila Ouro Minas
61137-023 Lopes de Souza / RO",643.116.351-28,05/20/1996
Maria Cecília Monteiro,Acupuntura,01/08/2013,+55 (041) 9033-6973,"Trevo Duarte, 39
Alto Caiçaras
55699-280 Lopes do Amparo / PA",363.660.915-27,06/01/1993
Laura Rocha,Dermatologia,12/22/2014,(031) 9021-9235,"Condomínio de Vieira, 98
Camponesa 2ª Seção
02593952 Dias do Amparo / SP",343.690.721-32,09/03/1975
Melissa Barbosa,Alergia e imunologia,08/22/2018,+55 81 5076-8863,"Trevo Pedro Santos, 93
Conjunto Jatoba
11592471 Martins / AP",502.976.951-93,03/24/1986
Letícia Duarte,Neurologia,12/16/2016,+55 (084) 8183-0146,"Jardim de da Rosa, 2
Santa Cecilia
14177635 Gomes da Prata / AL",540.563.218-67,12/02/1990
Yasmin Cavalcanti,Acupuntura,11/19/2015,(071) 4545-9168,"Trevo de Castro, 97
Vila Ipiranga
31355-823 da Rosa do Oeste / AL",953.890.678-60,01/14/1981
